DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
18-10-2019,1729.900024,437.799988,15.45,269.649994,613.5,359.700012,2094.449951,4137.649902,1615.25,1403.050537
22-10-2019,1674.349976,451.149994,16.200001,270.5,615.950012,365.350006,2114.899902,4034.149902,1628.849976,1400.871094
23-10-2019,1654.550049,455.100006,17,275.450012,610.299988,359.25,2142.949951,4038.350098,1613.650024,1379.325317
24-10-2019,1664.900024,454.75,17.85,262.5,612.450012,347.700012,2144.949951,4026.149902,1613.199951,1422.961792
25-10-2019,1467.800049,469.100006,18.700001,281.549988,609.650024,355.75,2101.550049,3987.25,1588.599976,1417.760986
29-10-2019,1409.75,477.399994,20.549999,280.649994,622.650024,354.75,2113.050049,4047.25,1575.550049,1453.274414
30-10-2019,1512.050049,471.149994,21.549999,289.899994,614.299988,355.799988,2107.449951,3992,1578.900024,1465.211304
31-10-2019,1456.849976,463.049988,22.6,312.399994,626.799988,352.149994,2131.899902,4027.550049,1574.5,1450.599731
01-11-2019,1438.650024,462.25,23.700001,313.549988,634.75,359.850006,2128.600098,4069.850098,1579.900024,1443.219727
04-11-2019,1436.400024,470.5,24.85,314.299988,635.849976,369.899994,2181.300049,4113,1571.050049,1443.962646
05-11-2019,1462.449951,468.350006,26.049999,319.200012,636.849976,360.25,2181.300049,4227.799805,1553.900024,1433.709839
06-11-2019,1468.650024,480.700012,25.549999,317.549988,643.549988,358.649994,2220.600098,4188.149902,1571.050049,1421.42627
07-11-2019,1492.550049,478.549988,24.299999,318.149994,643.799988,372,2251,4225.850098,1584,1444.903809
08-11-2019,1530,489.450012,23.1,316,631.549988,372.100006,2233.199951,4159.450195,1600.25,1431.926758
11-11-2019,1481.349976,496.799988,21.950001,318.25,634.200012,369.75,2234.550049,4169.049805,1616.900024,1414.392944
13-11-2019,1477.550049,485.75,23,306.799988,632.299988,357.399994,2207.449951,4144.549805,1605.800049,1458.475098
14-11-2019,1516.900024,498.649994,21.950001,306,631.400024,353.950012,2226.800049,4210.549805,1597.599976,1449.014771
15-11-2019,1465.650024,499.850006,22.6,321.899994,639.150024,353.450012,2224.050049,4187.600098,1622.75,1457.038696
18-11-2019,1460,498.350006,23.25,325.100006,645.549988,351.899994,2236.300049,4154.899902,1627.199951,1445.498169
19-11-2019,1425.75,493.5,23.950001,330.399994,645.450012,353,2212.100098,4135.75,1623.800049,1495.573486
20-11-2019,1426.650024,495,24.049999,328.799988,647.950012,354,2200.949951,4138.549805,1599.449951,1533.117554
21-11-2019,1400.199951,498.25,23.75,331.350006,638.849976,352.799988,2210.350098,4123.649902,1595.25,1523.161987
22-11-2019,1391,496.799988,23.35,329.299988,640.549988,361.899994,2237.300049,4078.300049,1569.099976,1531.978394
25-11-2019,1450.150024,497.799988,23.049999,336.100006,661.650024,375.049988,2294.550049,4141.700195,1603.650024,1546.887085
26-11-2019,1413.099976,510.700012,22.15,335.5,655.900024,360.799988,2304.649902,4098.350098,1604.400024,1545.599243
27-11-2019,1427.199951,505.5,21.700001,343.549988,659.799988,412.299988,2336.300049,4118.350098,1617.900024,1555.109131
28-11-2019,1433.550049,519.150024,22.1,349.299988,671.200012,447.950012,2309.75,4102.049805,1615,1565.460938
29-11-2019,1444.199951,512.599976,22.299999,341.850006,676.900024,445.149994,2297.25,4074.199951,1615.199951,1536.584717
02-12-2019,1452.199951,510.899994,22.5,338.5,666.900024,420.799988,2306.600098,3950.449951,1633,1571.602783
03-12-2019,1399.599976,509.350006,21.5,336.25,660.599976,409.5,2319.699951,3964.550049,1646.75,1564.074097
04-12-2019,1405.800049,529.25,21.35,341.850006,665.549988,410.350006,2322.399902,3990.850098,1651.25,1538.120117
05-12-2019,1321.25,528.099976,21.450001,336.200012,665.900024,403.549988,2327.550049,3990.850098,1649.300049,1536.287476
06-12-2019,1323.099976,524.799988,20.549999,320,663.849976,395.350006,2264.649902,3951.649902,1674.300049,1540.299561
09-12-2019,1327.800049,526.5,20.35,316.700012,662.599976,396.850006,2311.399902,3944.850098,1659.25,1557.833252
